run_id,split,site,plot_name,reference_id,point_count,best_prediction_id,best_iou,overlapping_prediction_count,failure_mode
sat_for_quicktune_to49_20260706_140730,trained_test,SCION,plot_61_annotated,8,6882,10,0.045645151582030856,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,SCION,plot_61_annotated,12,127792,2,0.007654001384282106,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,SCION,plot_61_annotated,13,29509,1,0.1206819786555612,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,SCION,plot_61_annotated,20,2832,20,0.2539069681926825,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,TUWIEN,test,133,3589,19,0.08055005401512423,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,TUWIEN,test,134,6811,19,0.035993771864194286,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,TUWIEN,test,135,6308,10,0.2561455260570305,1,near_miss
sat_for_quicktune_to49_20260706_140730,trained_test,TUWIEN,test,136,17577,10,0.08525947974634399,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,TUWIEN,test,137,15867,19,0.08935024573576178,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,TUWIEN,test,138,7451,11,0.1439237152086033,1,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,TUWIEN,test,141,10523,11,0.06421484775915155,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,TUWIEN,test,142,630,13,0.0036247465749216687,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,TUWIEN,test,144,6587,22,0.008719706536773108,0,missed_tree
sat_for_quicktune_to49_20260706_140730,trained_test,TUWIEN,test,145,15555,22,0.0680265273311897,0,missed_tree
